Question,Correct-answer,Guess-word,Correctness
enormously,tremendously,immensely,guess
provisions,stipulations,provision,guess
haphazardly,randomly,haphazard,guess
prominent,conspicuous,influential,guess
zenith,pinnacle,apogee,guess
flawed,imperfect,deeply_flawed,guess
urgently,desperately,urgent,guess
consumed,eaten,consume,guess
advent,coming,introduction,guess
concisely,succinctly,succinctly,correct
salutes,greetings,salute,guess
solitary,alone,lonely,guess
hasten,accelerate,hastened,guess
perseverance,endurance,tenacity,guess
fanciful,imaginative,fantastical,guess
showed,demonstrated,showing,guess
constantly,continually,continually,correct
issues,subjects,issue,guess
furnish,supply,furnished,guess
costly,expensive,expensive,correct
recognized,acknowledged,Recognized,guess
spot,location,spots,guess
make,earn,making,guess
often,frequently,sometimes,guess
easygoing,relaxed,affable,guess
debate,argument,debates,guess
narrow,thin,Narrow,guess
arranged,planned,arrange,guess
infinite,limitless,limitless,correct
showy,striking,flashy,guess
levied,imposed,levying,guess
deftly,skillfully,skillfully,correct
distribute,circulate,distributing,guess
discrepancies,differences,discrepancy,guess
prolific,productive,Prolific,guess
unmatched,unequaled,unparalleled,guess
peculiarly,uniquely,ineffably,guess
hue,color,hues,guess
hind,rear,hindquarters,guess
highlight,accentuate,highlights,guess
hastily,hurriedly,hurriedly,correct
temperate,mild,temperate_climate,guess
grin,smile,smile,correct
verbally,orally,verbal,guess
physician,doctor,doctor,correct
essentially,basically,basically,correct
keen,sharp,eager,guess
situated,positioned,located,guess
principal,major,Principal,guess
slowly,gradually,gradually,correct
built,constructed,constructed,correct
tasks,jobs,mundane_tasks,guess
unlikely,improbable,likely,guess
halfheartedly,apathetically,half_heartedly,guess
annals,chronicles,history,guess
wildly,furiously,crazily,guess
hailed,acclaimed,lauded,guess
command,mastery,commands,guess
concocted,devised,concocting,guess
prospective,potential,Prospective,guess
generally,broadly,typically,guess
sustained,prolonged,sustaining,guess
perilous,dangerous,precarious,guess
tranquillity,peacefulness,NA,guess
dissipate,disperse,dissipated,guess
primarily,chiefly,principally,guess
colloquial,conversational,slang,guess
resolved,settled,solved,guess
feasible,possible,economically_feasible,guess
expeditiously,rapidly,expeditious_manner,guess
percentage,proportion,per_centage,guess
terminated,ended,terminate,guess
uniform,alike,uniforms,guess
figure,solve,figures,guess
sufficient,enough,adequate,guess
fashion,manner,fashions,guess
marketed,sold,Marketed,guess
bigger,larger,larger,correct
roots,origins,origins,correct
normally,ordinarily,usually,guess
